rank,hostname,frequency,num_top_apps_using,sample_url,first_app
1,hl.dynalias.com,1,1,http://hl.dynalias.com:8081,com.vslib.cameras.worldwide
2,envisionwellapp.firebaseio.com,1,1,https://envisionwellapp.firebaseio.com,com.envision.well.app
3,dragosfotescu.com,1,1,http://dragosfotescu.com,za.co.co3.techconnect
4,dentair-c76dd.firebaseio.com,1,1,https://dentair-c76dd.firebaseio.com,com.DentAir.smart
5,whitecross-63373.firebaseio.com,1,1,https://whitecross-63373.firebaseio.com,com.geneva.phelp.phelpalwaysthere
6,www.sumava.net,1,1,http://www.sumava.net/cam-mr-2011/sr/,com.vslib.cameras.worldwide
7,d2q7pc2tsddr3l.cloudfront.net,1,1,https://d2q7pc2tsddr3l.cloudfront.net/1108/marker_image-19-81c601d9-1b22-4cc7-9f11-d2537b3195a8,com.fieldbit
8,www.akita-airport.com,1,1,https://www.akita-airport.com,com.vslib.cameras.worldwide
9,statabd.com,1,1,https://statabd.com/about-us/,com.statabd.StataLife
10,schemas.dwf.autodesk.com,1,1,http://schemas.dwf.autodesk.com/dwfx/2006/11,com.sinognss.sm.free
11,37-d4.divas.cloud,1,1,https://37-d4.divas.cloud/CHAN-4132/CHAN-4132_1.stream/playlist.m3u8,com.vslib.cameras.worldwide
12,bjgw.litguardian.com,1,1,http://bjgw.litguardian.com:10100/upload/,com.htstar.euked
13,insecure.parrot.canary.speech.sogou.com,1,1,http://insecure.parrot.canary.speech.sogou.com,com.sogou.recmaster
14,www.ottosolutions.sg,1,1,https://www.ottosolutions.sg/about-us,com.otto.smart
15,www.wetter-sempach.ch,1,1,http://www.wetter-sempach.ch,com.vslib.cameras.worldwide
16,history.openweathermap.org,1,1,http://history.openweathermap.org/data/2.5/history/city?,com.spiio.mobile
17,gratia-home.firebaseio.com,1,1,https://gratia-home.firebaseio.com,com.gratia.home.v2
18,bobot-home.firebaseio.com,1,1,https://bobot-home.firebaseio.com,com.bobot.home
19,lagovida.ak-dyndns.org,1,1,http://lagovida.ak-dyndns.org:81,com.vslib.cameras.worldwide
20,portal.next.sapmobilesecure.com,1,1,https://portal.next.sapmobilesecure.com,com.hoval.connect
21,www.wernerneudeck.de,1,1,http://www.wernerneudeck.de,com.vslib.cameras.worldwide
22,www.diabetesselfmanagement.com,1,1,https://www.diabetesselfmanagement.com/,com.cmedhealth.rgp.user
23,weather.ddsc.org.au,1,1,http://weather.ddsc.org.au,com.vslib.cameras.worldwide
24,media3.tchibo-content.de,1,1,https://media3.tchibo-content.de/newmedia/art_img/MAIN_ALT_HD_2-IMPORTED/bee0f7169b029b33/bluetooth-pulsmessgurt.jpg,com.nsoria.fit
25,rn-smarthome.firebaseio.com,1,1,https://rn-smarthome.firebaseio.com,com.smarthomegoiot
26,www.swapp.com.tr,1,1,https://www.swapp.com.tr/tr/urunler?anahtar=tuya,com.slink.umie
27,shop467646395.m.taobao.com,1,1,https://shop467646395.m.taobao.com,com.frogtosea.smartprint
28,linaco.vn,1,1,https://linaco.vn,com.linaco.bowgroup
29,bousai.city.fukuoka.lg.jp,1,1,http://bousai.city.fukuoka.lg.jp,com.vslib.cameras.worldwide
30,coruscant.ddi.michelin.com,1,1,https://coruscant.ddi.michelin.com/identityprovider/api/identities/,com.michelin.idealdriverpro
31,keeyo-smart-c2e92.firebaseio.com,1,1,https://keeyo-smart-c2e92.firebaseio.com,com.keeyo.smart
32,dinsafer-iget.firebaseio.com,1,1,https://dinsafer-iget.firebaseio.com,com.iget.m4
33,www.airport-dubrovnik.hr,1,1,http://www.airport-dubrovnik.hr,com.vslib.cameras.worldwide
34,portal.devtest.sapmobilesecure.com,1,1,https://portal.devtest.sapmobilesecure.com,com.hoval.connect
35,telemedicainstance.azurewebsites.net,1,1,https://telemedicainstance.azurewebsites.net/api/,pl.medapp.medappekg
36,honestjj.m.tmall.com,1,1,https://honestjj.m.tmall.com/,com.nut.blehunter.imagic
37,storchennest.dyndns.info,1,1,http://storchennest.dyndns.info:4566,com.vslib.cameras.worldwide
38,www.grupobeca.cl,1,1,http://www.grupobeca.cl/espanol/index.html,com.beca.domotikapp
39,www.simple-devices.com,1,1,https://www.simple-devices.com/,com.devices.simple
40,cams.jahorinaprestige.com,1,1,https://cams.jahorinaprestige.com/jahorina/ogorjelica-sestosjed/1920x1080/,com.vslib.cameras.worldwide
41,www.idealo.de,1,1,https://www.idealo.de/preisvergleich/ProductCategory/8638F2512974.html,com.nsoria.fit
42,ekgdev.azurewebsites.net,1,1,https://ekgdev.azurewebsites.net/,pl.medapp.medappekg
