package_name,is_obsolete,version
com.smartsound.skeeperheart,1,1.33
trx.org.freewallet.app,1,2.6.7
au.gov.health.covidsafe,1,1.0.17
com.deepdownapp.forandroidtv,1,1.0
com.sd.rentpass,1,1.0.0
com.garrettmotion.garrett,1,1.0.0
com.simshine.aiot,1,1.1.4
lv.HoursOfService,1,1.169
com.XRHealth.VRPortalControl,1,1.1.17
com.logmor.ltesmartplug,1,0.9.10.27
eu.helmchat.meet,1,20.4.0
com.nuance.nmdp,1,6.4.9.11.26
com.allports.android.driver,1,6.8.1
com.neutrogena.skin360,1,2.2.0
io.appsly.stepper,1,1.0
com.halo.sportsplazamercatorhalo,1,1.0.0
com.bluefire_llc.global.trucks,1,5.12.2
com.mkopohela.mk4,1,1.1
com.healthandfitness.android.luckygo,1,2.1.1
com.izotope.spire,1,1.23.0.4864
com.powercruisecontrol.i3,1,0.1.7
com.engytec,1,1.4
com.eegsmart.umindmirror,1,1.0.0
co.remotephilips.remote.philips.apps6,1,tvremotecontrol-15
ee.rautsik.simpletvremotecontrol,1,1.4
com.earth.cam.street.view.livestreetview,1,1.0
com.infinix.xlife2,1,2.2.3
com.smart.mengma,1,1.0.0
chatgpt.ai.assistant.genie.elongpt,1,1.0.1
com.printheaddoctor.phd,1,1.0
vip.theliftlounge.train.own,1,4.17.1
com.ema.yotta,1,1.0.0
blackpaw.litchen.lights,1,1.0
com.monotype.android.font.free.fifty.written,1,4.1.1
com.medm.telemediq.diary,1,2.6.294
com.jibao.btcontrol.en,1,1.0.9
com.queeclink.home.v2,1,1.2
com.imsmart.devices,1,0.269
com.katgo,1,1.1.0
com.conneqtech.urbanarrow,1,3.6.1
com.jpsoftware.sharey,1,1.0.3
io.spotsales.demo,1,3.0.0
com.trainerize.fitbodybootcamp,1,6.8.0
cn.appscomm.p03a,1,1.0.4
in.hjlabs.swiboard,1,1.2.7
com.blujit.mileagetracker,1,1.10.0
com.infoweise.parentalcontrol.secureteen.child,1,1.6000.7
hyper.androidinfo,1,1.0
com.azarton.cam,1,0.3.9
za.co.ipay.ei.utilitiesconnected,1,1.0.0
com.remotecontrol.roku.remote,1,1
com.bioservo.biocloud.ironconnectpro,1,1.0.0
in.remote.www.sharptvremote,1,1.0
com.moocall.moocall,1,2.4.8
de.baimos.blueid.client.sdk.demo,1,3.4.2
tw.com.syntronix.homepanel,1,1.0.8
com.mezoo.hicardi_gateway,1,1.0.0
de.berner.bernerbox.app,1,2.0.1
com.screencast.mirroring.mirroringtvcast,1,1.0
com.kinvent.kforce,1,3.0.1
com.dabapps.centurion,1,1.1.0
com.gpsfile.gpsboat,1,4.5
com.qwizeen.pos,1,1.0.1
gov.ny.health.proximity,1,1.0.1
com.remote.controlForStarTimes,1,11.1
com.bci.plutotrigger,1,1.31
cz.skodaauto.connect,1,3.4.0
com.cooingdv.nauticaaero,1,1.0.0
com.cs.dns,1,1.2.0
com.thinkrace.oplay_watch,1,V2.1.0
cc.kittenbot.kblock,1,2.8.0
com.deltacontrols.o3hub,1,1.4.0
com.manridy.iband,1,1.11.10
com.tools.app.veavon,1,1.0.5
eu.stanleysecurity.evideocloud.android,1,3.8.8
com.pafers.trackonearth,1,3.0.6
wearableloudspeaker.com.wearableloudspeaker,1,28.1.0.1.60.04
com.pix4d.plugindji,1,1.9.8
com.monotype.android.font.free.fifty,1,4.1.0
co.jonga.sensor,1,1.0.16
com.zhengde.sha,1,1.06
com.smartartstudios.retrofree.interactive.watchface,1,1.71
com.mitronapp,1,1.0.3
com.notscared.optika,1,1.7
com.ela.smbt5.d.android,1,v1.0.3
com.mobismarthealth.a4weight,1,1.4.587-release
com.meralco.phone.move,1,2020.02.02
com.fileshare.apk,1,
one.zorp,1,1.0.16
com.bose.corporation.bosesleep,1,3.0.0
name.antonsmirnov.arduinostudio,1,0.9.14
com.smartfleet.smartfleet,1,1.1pc
com.coachcare.anew10ionic,1,2.34.760
com.chegames.revolutioncar,1,16.5
com.mobile.entrotecconnect,1,2.000.0000006
io.kodular.mahdisayd.Home_4CH,1,1.0
com.fitbitversa3.app,1,2
com.flytbase.flytos,1,2.0.5-9p11
air.com.carrier.myinfinity,1,2.44.1
com.ezbikepk,1,1.0.10
com.nextgentek.nodemcuandroid,1,1.5.7
com.appssolution.step.calories.pedometer,1,2.0
air.com.comrex.liveshot,1,1.5
com.garmin.android.apps.autoplus,1,1.5.8
com.mooov.mooov,1,1.0.14
com.sandman.app,1,1.0.1
com.shopgate.android.app26076,1,5.42.1
